,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
membership,-0.37049633,0.65649533,-0.0013755612,0.0048832605,-0.8592591,1.3375415,0.9553386,0.8132736,1.4291499,-0.1498729,-1.7504529,-2.7671547,0.45059565,1.263204,0.8015327,-0.83088905,0.7779138,-0.9329028,-0.1152849,0.22876886,-0.22478692,0.48802313,-0.18735145,0.4915929,-0.27638468,1.6269224,0.2396492,-0.8831014,0.044415914,-0.46554065,0.03229512,-0.103368215,0.050271753,-1.495979,1.1208042,-0.93537354,-0.2790656,0.8496115,-0.5706807,-1.5907494,0.55116695,0.27429417,1.4121768,-1.580532,-0.16906366,-1.3414086,-1.0754498,-0.1601834,0.6630218,-1.1036013,-0.15239727,-0.027217107,-1.0246263,-0.67813224,0.65599597,-1.6818485,-0.55133146,-2.5209925,0.101962335,-0.21115263,-0.6830382,-0.66595376,0.85844326,1.4953208,0.42466548,0.95915633,-0.41666147,-1.1275748,-0.2541422,-1.3176774,0.47080147,1.5499452,1.4834934,0.25061753,-0.061094604,0.9465137,-0.013804838,-1.5755247,-0.732457,0.06255491,-0.30790555,0.40027007,1.2326038,-1.5043483,1.3499377,-0.32983276,1.0582377,1.7024395,0.97519594,1.8328991,1.7963958,-1.4863802,1.2892193,0.021311756,0.9477897,2.0127726,0.78600216,-0.5102817,1.0716501,-2.196079
benefits,0.37419206,1.7009565,1.5974253,-1.0436784,-0.79571843,0.75183153,-1.1456319,0.5701675,0.9355186,-0.19720894,0.28951794,-0.60932183,-0.80528384,0.7083108,1.6421653,-0.81444335,0.44401932,1.2558439,-0.047227316,-1.1163452,-1.2593195,-0.54139644,-0.66532886,0.6210611,-0.7337688,-1.1745051,-1.1868167,-0.20571917,1.7599194,-1.4523312,0.069212414,-1.1574618,-1.0178444,-0.31156895,-0.82984054,0.1576877,0.8365233,1.8731755,-1.7325739,-0.50688356,0.9829965,1.48829,0.16210915,-0.2705961,-1.2326314,-0.19129802,-2.6079252,0.21730752,-0.54895157,0.41449466,-0.765752,-1.996708,-1.3051292,0.9462271,1.4822896,0.3795934,-1.5416738,0.08597388,0.39111978,0.38018104,0.26006266,-0.17548046,1.2722138,-0.35204086,0.8960387,0.688932,-0.38932788,0.63639563,-1.2430881,-0.4228275,-0.28105783,-0.6907142,0.2085352,-1.1481872,0.930042,1.9153541,0.9112987,-1.467354,-1.0735378,1.272497,1.4205824,0.89113426,1.435012,-1.1781383,-0.17332847,-1.6230115,-0.953632,0.6040612,0.61148393,1.6351947,1.1086977,-1.4765577,0.36228955,0.5028689,0.9889282,0.9353101,2.7963576,-0.4660173,0.9472491,1.0762107
stanford,2.051837,0.4034929,-1.7602257,-1.1260567,-1.0364336,-2.0966394,0.985686,-0.1939893,2.1329753,0.08590423,1.2196211,-0.5046848,-1.9571346,2.4798772,-2.3087323,0.8696852,-0.11064543,2.0519192,1.4591445,-0.43367273,-2.0121493,-0.48690528,-0.03454985,1.0044186,2.4465926,-0.3039752,1.0287483,-1.9897791,-1.0027558,-0.73089314,-1.1850394,-0.3160689,-0.54880387,-0.0032943748,1.1871585,0.89056957,3.0806546,0.34692556,-0.9809536,-0.060908053,-0.5221336,1.4605228,1.182111,-1.5599228,0.3128212,-0.31633544,-0.3314472,-0.75822085,-1.045081,1.7536176,0.24925333,-2.0931108,0.83977586,1.6646789,-0.0341451,-2.0187266,-0.28860354,0.52150077,2.1758294,-0.8103737,-1.4643824,0.621311,3.0262103,-2.2342029,-0.68958074,1.4169341,0.29256192,0.4141643,2.224917,-1.2411618,-1.246539,1.0463338,0.015258914,-2.815091,1.1436034,0.25042242,1.0040594,-0.23466511,0.39624986,0.3632478,-0.5039214,-2.438988,-0.28370044,-0.12084202,-0.18705706,-1.107606,-0.070864074,0.6034029,0.6302085,0.4018268,0.67539674,1.5754061,0.66730213,-0.3905503,0.71753997,-1.2370577,-1.740912,1.3935529,0.30938312,-0.27485102
alumni,-0.8687134,0.078914136,-0.7846734,1.1743686,-0.6256163,0.2757098,0.41367126,0.3626352,0.47541487,-0.91683483,-1.4304137,0.6556008,0.57266486,-0.36448422,-0.9014203,1.1002086,1.9329956,-0.40661067,1.2309701,0.45148227,-0.6801565,-0.28702486,-0.33357692,-0.05468611,-0.57264054,-1.0190134,-0.11414519,-1.3700911,0.6492208,-0.16676031,1.5079664,1.9329106,0.9439919,0.62654114,-0.49388763,2.2245064,1.1447961,-0.48464075,-1.4926655,-0.44831502,-1.5460232,-0.9186256,-0.621474,-0.345353,-0.14271088,-0.6380626,0.9231333,0.18577956,-0.84222,0.22095521,-0.4986071,0.36938608,0.8786952,0.4984734,0.62627685,0.01375415,-0.8430434,-0.9483565,0.4929936,2.2022486,-0.47508404,0.64252174,-0.55103207,-0.6186822,-0.12480887,-0.056405917,-0.1364927,0.0014810911,1.9507114,-1.5145046,1.8315357,-0.59864366,0.44558626,-0.7291173,-1.3397813,0.08631464,-0.7761945,-2.0304348,-0.2300807,0.6442221,-1.6658089,-1.7239789,-0.38563532,-0.25359634,1.6654131,-0.20842196,-0.28749034,0.6204577,-0.45411435,0.26652467,0.5241962,0.20198964,-0.7123219,0.29290548,-0.25937286,0.37985736,0.60755163,1.2106874,0.8552367,0.19133876
association,0.5461492,0.1559986,-0.18412112,-1.2533803,0.10898195,-0.0862635,-1.7595664,-1.514121,-1.2235848,-1.1325413,-0.33667514,-1.0613011,1.2508,0.26168615,-0.96342653,-1.3967241,-1.0972112,-0.84691685,-0.0722733,0.3558834,-0.65538585,-1.6219493,1.0170664,2.471752,-0.021316562,1.2131364,0.46185732,-0.35301542,1.2425272,0.9369749,1.358918,0.18876395,1.4666644,-0.6966918,1.0896975,-0.5916751,-1.9014298,-0.47048753,0.16441701,-0.27805996,0.0859245,2.882513,-0.012329571,-0.73530495,-0.717224,-0.33464316,0.28952575,1.9524208,-0.14990002,-2.3828154,-0.99427146,0.833722,2.0233002,0.61615473,0.91706306,0.9541252,0.06648513,0.20072082,1.4336575,-0.090025656,-0.6188881,-0.9051095,-0.8261372,-0.015604548,0.1408443,0.602765,0.13258268,1.2848597,1.4418572,-2.2237883,0.105858676,0.408524,-0.18684804,0.16020873,-0.87911695,-0.6824943,-0.56527513,-0.4095045,-0.42958766,0.020911004,-0.828803,-0.20243579,1.2592314,-1.3857278,0.07888091,-0.04028942,-0.25801012,-1.1211388,-0.7776535,-0.8060277,0.9032426,0.9501478,-1.8442302,0.50469106,-1.3302964,-1.3722601,1.496799,-0.52612966,1.0633574,-1.4689883
credit,-0.5901684,0.17456198,-2.2176304,-0.7280937,0.12965201,-2.452914,0.88385797,-1.0144314,-1.1310756,0.9984444,1.537407,-1.2552222,-0.31558907,-0.35253814,-0.77604866,0.27206054,0.9213985,-1.5387224,0.7554099,-1.5260279,0.24554022,2.2607987,-1.3264089,0.7216577,0.55601716,1.1606925,-0.9946571,-0.9031346,0.6162234,-1.1809497,1.377652,0.802108,-2.1844013,0.5278875,-0.40194044,-0.72507626,0.65877426,-1.0538006,-0.80357426,-1.3816038,0.58583313,-1.2433853,-0.08224977,-1.4080033,0.48532665,-0.24427813,-0.36328366,-1.2359904,-0.94587755,0.018681237,-0.20331894,0.7940169,-1.0462497,-1.3593895,1.0520749,0.027350685,-0.14233102,0.4457472,0.5122268,0.567988,0.07014003,0.93547434,-1.5309024,-0.87776464,-0.75474614,-0.3408556,-0.31599656,0.50979835,1.7183058,-0.37348977,1.0307609,1.6159067,1.3390553,-1.7724652,0.73682106,-1.4530629,0.4953312,0.80031157,0.27235556,-1.20716,0.7672664,-2.3457649,-0.9032018,-0.7219889,-1.4839826,-0.016054276,-0.2665139,-0.2555969,0.44161832,1.655342,-0.11581524,1.6627434,-0.7075719,-0.4875757,-0.38423154,1.3379643,0.107021466,1.0508054,0.37464017,-0.6715938
card,1.0675467,-0.7249222,0.16602483,-0.039487742,1.1740632,-1.3853106,-1.1506482,-0.44538796,0.99636674,-1.3935229,-1.1617198,-0.42675847,0.56035477,-0.2742965,0.61538094,0.13393098,-0.17605327,-0.5337888,-1.15349,-0.74071366,0.37373227,-0.56963104,0.08336391,-0.01774373,0.91448855,-0.036436263,0.9394711,0.35959083,1.5600666,-1.1670641,0.76825416,1.436108,1.3982928,-0.488009,0.018110214,-2.3990083,-1.4341087,0.30709133,-0.8598475,1.9326713,1.6720073,-0.573645,1.1281147,-0.42977983,-0.28051126,-0.5099321,-0.6555199,1.5812037,-0.1395146,0.28227308,-0.94825995,0.16184154,-0.25109434,1.4484107,1.2906276,0.445009,0.70927125,-1.6350297,0.08220861,-1.0563982,-1.2027084,-0.9839316,0.7954853,0.55764663,-0.097211145,0.109923266,1.2840242,0.9213629,0.60783714,-0.3883039,0.61023045,-0.2123581,-0.18629427,0.70244634,1.2158645,0.048493337,-0.06602346,-1.9921141,-1.063708,-0.70441324,-0.989056,-0.5024562,-0.6155267,-0.7524107,-3.1509302,0.18780106,2.1608756,-1.3574535,-0.9956603,1.3813376,-0.06660656,-0.6301174,0.66412055,-0.8037288,-1.4394001,-0.13375042,0.5956804,0.31067398,0.4127831,-1.2887323
rewards,1.4076196,-0.43257347,-1.341528,-0.655837,-1.3898314,0.39397216,1.1101984,0.85110104,-0.29666522,-0.799974,0.038849857,-0.5659553,0.92057204,0.87523425,-0.064500764,0.054095604,1.3196287,0.08134806,0.20416184,1.1349058,-1.2973704,-0.39781058,-0.13337496,-0.25325516,-1.1927637,-0.34569642,0.6401289,-1.6541647,0.9510868,0.8628235,1.8243685,1.046834,2.5229006,0.49097055,1.1628437,0.80475074,-0.1059883,0.37252742,0.391017,-1.8735918,-0.0071783164,-0.24692647,1.9197366,0.3716475,0.36873418,-0.6462386,-0.27842286,1.3919332,1.1686538,-0.60280466,-0.9909985,-1.8416994,-2.4019134,-1.0508652,2.2878368,1.5385163,0.9663381,-0.68335056,1.9138119,0.452138,2.1238296,-0.915119,-1.0095941,-0.5900321,0.87413824,-0.69800067,-0.29519528,-0.917557,2.0015383,-0.41479972,-0.20732416,0.397859,-1.3580382,1.0613592,1.287407,-0.37714446,-0.7109022,-0.12608092,0.1570914,-0.6511172,0.813518,-0.2518842,-0.15974039,1.1702852,2.4075947,0.40807903,0.64107525,-0.6769425,0.636038,0.10612205,0.5051151,0.09849044,-1.8659866,0.113285206,-0.34154972,-1.0783232,-0.6482441,-0.43587315,-0.5701124,-0.4269996
visa,1.3207129,0.9509653,0.0492937,0.62394774,-0.04478968,0.644796,0.35966456,-0.014339006,-0.3663204,-0.8349985,-1.0026281,-3.4019198,0.37612873,-0.64664274,-0.49278837,0.44783694,-1.5660458,-0.92073625,0.069635026,1.2975954,1.0971735,0.1773368,-1.3593435,0.5887353,0.17552626,-0.886882,-0.3737132,-0.041405585,-0.34891683,0.2951883,0.47741354,0.31250495,2.5509512,-0.008912329,-2.3444998,0.636544,-1.9538337,1.0222129,0.07873115,-1.7343521,0.81577706,-0.9179379,-0.0019229719,-0.069826186,-0.004921946,-0.44626102,0.13754772,-0.65722454,-0.31205773,-1.5644689,-0.67237055,-1.7228476,-1.1974065,-1.5607802,0.3474198,0.13790073,-0.36110333,0.42296,0.48897,-0.2504163,0.5681389,-0.7740284,-0.5654777,0.5416171,-1.3824085,-0.49260768,0.39046824,-1.0096401,1.8566837,-0.76595646,0.042009458,-0.0018188118,0.5114701,-0.6887445,-1.0502472,-0.7348406,1.1065841,0.71674573,0.11688067,-1.4969888,0.3933036,-0.54658717,-1.320877,-1.0163805,0.4579915,1.4614698,-0.3542565,1.065859,0.97558695,1.066328,-0.031145437,-0.5083865,-1.8825543,-2.0427966,0.5483001,0.71771824,-0.13854082,-0.15656607,-0.45763516,-0.6030479
carry,-1.939528,0.19770971,-0.9288565,-0.113408424,-0.5124539,-0.9967962,-0.06981005,-0.34655336,0.37711614,-0.3262208,-1.4196074,0.005252361,0.43415833,-0.5483038,-1.5644289,0.72279364,-0.6574799,-0.7368867,-0.78428036,0.6212565,0.7689357,-0.8277475,-1.0859759,-0.32283637,0.698838,-0.6967044,-0.73760825,0.25115904,-0.9188998,-1.0656949,0.3401566,-0.008172646,1.2994944,-1.2796378,1.5355769,-0.1482102,0.6800848,0.6309009,-0.84895957,-1.7661918,0.8189063,0.13412704,-0.040389813,0.4544157,-0.062097285,0.32333764,-0.6496825,-0.40465572,2.3904004,-1.6257013,0.38722187,-1.0249329,-0.58874786,-0.5314211,1.6049291,1.5970852,1.399633,-2.0282578,0.96182793,1.1178684,-0.51460165,0.5991266,1.0499038,0.34777248,2.64474,-0.5249647,0.34524888,2.4788506,0.2706191,0.47103304,-0.90469396,-0.41334096,0.4387652,-0.7030143,-0.056091264,0.91565293,-0.1768739,-0.8753187,-0.9989707,-1.6368313,-0.256984,1.121773,0.6474588,-0.7219049,0.043739647,-0.26668862,-0.99635166,-0.313935,-0.6389739,-0.63610107,1.4607875,-0.1313953,-1.5911726,-0.89359987,-0.54056567,-0.2519504,-0.34755555,0.12696901,-0.75503826,-0.15184282
